action,available_qualities,average_estimated_throughput_kbps,average_measured_bandwidth_kbps,average_previous_bandwidth,average_previous_bandwidth_kbps,average_stall_duration_sec,average_switch_magnitude_kbps,bandwidth_history,bitrate_kbps,buffer_after_download_sec,buffer_before_request_sec,buffer_level,buffer_level_sec,buffer_state,buffered_segments,client_id,connection_id,current_simulation_time,current_time,deadline_time,direction,download_time_sec,downward_switch_count,elapsed_time,estimated_throughput,event_counter,event_time,event_type,file_received_time,file_size_kbits,final_buffer_level_sec,final_simulation_time_sec,is_stalling_after_download,is_stalling_before_request,max_buffer_sec,maximum_stall_duration_sec,maximum_switch_magnitude_kbps,measured_bandwidth_kbps,message,playback_position_after_download_sec,playback_position_before_request_sec,playback_position_sec,playback_started,previous_quality_kbps,previous_simulation_time,quality_change_kbps,quality_switch_count,quality_switch_magnitudes,quality_switched,queue_size_after,queue_size_before,reason,rebuffer_time_after_download_sec,rebuffer_time_before_request_sec,request_time,run_id,safety_factor,segment_duration,segment_duration_sec,segment_id,segment_quality,segment_size,selected_quality,server_id,source,stall_count,stall_count_after_download,stall_count_before_request,stall_durations_sec,switch_direction,throughput_history,total_rebuffer_time_sec,total_segments,upward_switch_count,video_name
CONNECTION_REQUEST_CREATED,,,,,,,,,,,,,,,,client_1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,client,,,,,,,,,,
CONNECTION_ESTABLISHED,,,,,,,,,,,,,,,,client_1,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,,,,,,server_1,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,,,,,,,,,0,,STARTUP,,client_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NO_PREVIOUS_BANDWIDTH,,,,run_20260712_133725_008,,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,0,,,,client_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,False,,,NO_BANDWIDTH_HISTORY_START_LOW,,,,run_20260712_133725_008,,,,,,,800,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,4,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}]",client_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,1,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,2999.9999999999995,,,,,,,,4,,MEDIUM,,client_1,,,,,,,,,2399.9999999999995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,4,,,,client_1,,,,,,,,,2399.9999999999995,,,,,,,,,,,,,,,,,,,800,,600,1,,True,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,1400,,client,,,,,UP,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,7.75,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}, {""segment_id"": 2, ""remaining_duration_sec"": 4}]",client_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,2,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,3000.0,,,,,,,,7.75,,MEDIUM,,client_1,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
ABR_QUALITY_SELECTED,,,,,,,,,,,,7.75,,,,client_1,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,1400,,0,1,,False,,,THROUGHPUT_AND_BUFFER_BASED,,,,run_20260712_133725_008,,,,,,,1400,,client,,,,,NONE,,,,,
SEGMENT_ADDED_TO_BUFFER,,,,,,,,,,,,,11.51,,"[{""segment_id"": 1, ""remaining_duration_sec"": 2.6033333333333335}, {""segment_id"": 2, ""remaining_duration_sec"": 4}, {""segment_id"": 3, ""remaining_duration_sec"": 4}]",client_1,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,,,4,3,,,,,client,,,,,,,,,,
THROUGHPUT_ESTIMATION,,,,3000.0,,,,,,,,11.51,,MEDIUM,,client_1,,,,,,,,,2400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,run_20260712_133725_008,0.8,,,,,,,,client,,,,,,,,,,
